Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Successfully loaded weights from ./TensorforcePPOAgent/
[train] Training 'TensorforcePPOAgent'
[train] Episode  55 | Steps Taken:  98 | Total Steps: Taken   5441/300000 | Total reward: -402.48610307082697
[train] Episode  56 | Steps Taken:  98 | Total Steps: Taken   5539/300000 | Total reward: -398.70604428545414
[train] Episode  57 | Steps Taken:  99 | Total Steps: Taken   5638/300000 | Total reward: -398.04096861916173
[train] Episode  58 | Steps Taken:  99 | Total Steps: Taken   5737/300000 | Total reward: -397.58566890342183
[train] Episode  59 | Steps Taken: 100 | Total Steps: Taken   5837/300000 | Total reward: -426.6660064829554
[train] Episode  60 | Steps Taken:  99 | Total Steps: Taken   5936/300000 | Total reward: -391.39310071587033
[train] Episode  61 | Steps Taken:  98 | Total Steps: Taken   6034/300000 | Total reward: -359.2552645824307
[train] Episode  62 | Steps Taken:  96 | Total Steps: Taken   6130/300000 | Total reward: -339.10301922647324
[train] Episode  63 | Steps Taken: 106 | Total Steps: Taken   6236/300000 | Total reward: -435.50766606768144
[train] Episode  64 | Steps Taken:  99 | Total Steps: Taken   6335/300000 | Total reward: -372.17797549079575
[train] Episode  65 | Steps Taken:  99 | Total Steps: Taken   6434/300000 | Total reward: -367.7591629371922
[train] Episode  66 | Steps Taken:  99 | Total Steps: Taken   6533/300000 | Total reward: -389.6945628663295
[train] Episode  67 | Steps Taken:  97 | Total Steps: Taken   6630/300000 | Total reward: -381.0508570784359
[train] Episode  68 | Steps Taken:  98 | Total Steps: Taken   6728/300000 | Total reward: -364.57903081222855
[train] Episode  69 | Steps Taken: 103 | Total Steps: Taken   6831/300000 | Total reward: -466.0691847064761
[train] Episode  70 | Steps Taken: 100 | Total Steps: Taken   6931/300000 | Total reward: -446.72129706704845
[train] Episode  71 | Steps Taken:  99 | Total Steps: Taken   7030/300000 | Total reward: -392.0737739614121
[train] Episode  72 | Steps Taken:  98 | Total Steps: Taken   7128/300000 | Total reward: -378.09744240979
[train] Episode  73 | Steps Taken:  96 | Total Steps: Taken   7224/300000 | Total reward: -366.6845651638122
[train] Episode  74 | Steps Taken:  98 | Total Steps: Taken   7322/300000 | Total reward: -375.0195407043764
[train] Episode  75 | Steps Taken:  98 | Total Steps: Taken   7420/300000 | Total reward: -386.33138992798234
[train] Episode  76 | Steps Taken:  98 | Total Steps: Taken   7518/300000 | Total reward: -370.69795776894426
[train] Episode  77 | Steps Taken:  98 | Total Steps: Taken   7616/300000 | Total reward: -360.99338392237445
[train] Episode  78 | Steps Taken:  99 | Total Steps: Taken   7715/300000 | Total reward: -375.3732201114594
[train] Episode  79 | Steps Taken:  96 | Total Steps: Taken   7811/300000 | Total reward: -407.02058374873076
[train] Episode  80 | Steps Taken:  97 | Total Steps: Taken   7908/300000 | Total reward: -383.05378625530557
[train] Episode  81 | Steps Taken:  97 | Total Steps: Taken   8005/300000 | Total reward: -370.13635244494765
[train] Episode  82 | Steps Taken:  95 | Total Steps: Taken   8100/300000 | Total reward: -383.4114617779236
[train] Episode  83 | Steps Taken: 100 | Total Steps: Taken   8200/300000 | Total reward: -337.4679425214738
[train] Episode  84 | Steps Taken:  98 | Total Steps: Taken   8298/300000 | Total reward: -381.76736420987305
[train] Episode  85 | Steps Taken:  97 | Total Steps: Taken   8395/300000 | Total reward: -364.1850118065041
[train] Episode  86 | Steps Taken:  98 | Total Steps: Taken   8493/300000 | Total reward: -370.493616592955
[train] Episode  87 | Steps Taken:  95 | Total Steps: Taken   8588/300000 | Total reward: -336.11611081529134
[train] Episode  88 | Steps Taken: 100 | Total Steps: Taken   8688/300000 | Total reward: -388.32219189626613
[train] Episode  89 | Steps Taken:  95 | Total Steps: Taken   8783/300000 | Total reward: -355.5426952248334
[train] Episode  90 | Steps Taken: 100 | Total Steps: Taken   8883/300000 | Total reward: -367.9563969656426
[train] Episode  91 | Steps Taken:  98 | Total Steps: Taken   8981/300000 | Total reward: -333.7628808468213
[train] Episode  92 | Steps Taken:  98 | Total Steps: Taken   9079/300000 | Total reward: -368.4563162904116
[train] Episode  93 | Steps Taken:  99 | Total Steps: Taken   9178/300000 | Total reward: -408.92363258766983
[train] Episode  94 | Steps Taken:  99 | Total Steps: Taken   9277/300000 | Total reward: -422.90700596413046
[train] Episode  95 | Steps Taken:  97 | Total Steps: Taken   9374/300000 | Total reward: -386.4513641656182
[train] Episode  96 | Steps Taken:  98 | Total Steps: Taken   9472/300000 | Total reward: -376.2202714671368
[train] Episode  97 | Steps Taken:  96 | Total Steps: Taken   9568/300000 | Total reward: -364.809010627689
[train] Episode  98 | Steps Taken:  99 | Total Steps: Taken   9667/300000 | Total reward: -378.39964626778016
[train] Episode  99 | Steps Taken:  98 | Total Steps: Taken   9765/300000 | Total reward: -371.14744540713514
[train] Episode 100 | Steps Taken:  97 | Total Steps: Taken   9862/300000 | Total reward: -368.5754339285675
[train] Episode 101 | Steps Taken: 100 | Total Steps: Taken   9962/300000 | Total reward: -390.4793712514965
[train] Episode 102 | Steps Taken:  97 | Total Steps: Taken  10059/300000 | Total reward: -375.9267971702587
[train] Episode 103 | Steps Taken:  98 | Total Steps: Taken  10157/300000 | Total reward: -372.60562987580954
[train] Episode 104 | Steps Taken: 101 | Total Steps: Taken  10258/300000 | Total reward: -399.73878666645595
[train] Episode 105 | Steps Taken:  98 | Total Steps: Taken  10356/300000 | Total reward: -357.2891993261107
[train] Episode 106 | Steps Taken:  96 | Total Steps: Taken  10452/300000 | Total reward: -385.15623627781156
[train] Episode 107 | Steps Taken: 101 | Total Steps: Taken  10553/300000 | Total reward: -408.9299635009672
[train] Episode 108 | Steps Taken:  97 | Total Steps: Taken  10650/300000 | Total reward: -367.03354529932017
[train] Episode 109 | Steps Taken: 102 | Total Steps: Taken  10752/300000 | Total reward: -388.2741073943315
[train] Episode 110 | Steps Taken:  98 | Total Steps: Taken  10850/300000 | Total reward: -363.610258372977
[train] Episode 111 | Steps Taken: 101 | Total Steps: Taken  10951/300000 | Total reward: -424.9551667173253
[train] Episode 112 | Steps Taken:  98 | Total Steps: Taken  11049/300000 | Total reward: -394.0898620099266
[train] Episode 113 | Steps Taken:  96 | Total Steps: Taken  11145/300000 | Total reward: -355.1653620315539
[train] Episode 114 | Steps Taken: 103 | Total Steps: Taken  11248/300000 | Total reward: -403.76024463752066
[train] Episode 115 | Steps Taken: 101 | Total Steps: Taken  11349/300000 | Total reward: -409.20821608511034
[train] Episode 116 | Steps Taken:  97 | Total Steps: Taken  11446/300000 | Total reward: -369.29401336435467
[train] Episode 117 | Steps Taken:  98 | Total Steps: Taken  11544/300000 | Total reward: -379.29898789283095
[train] Episode 118 | Steps Taken:  96 | Total Steps: Taken  11640/300000 | Total reward: -343.4629022593985
[train] Episode 119 | Steps Taken: 101 | Total Steps: Taken  11741/300000 | Total reward: -439.0398801432684
[train] Episode 120 | Steps Taken:  96 | Total Steps: Taken  11837/300000 | Total reward: -359.778926248092
[train] Episode 121 | Steps Taken:  98 | Total Steps: Taken  11935/300000 | Total reward: -365.69355668894406
[train] Episode 122 | Steps Taken:  99 | Total Steps: Taken  12034/300000 | Total reward: -384.77144530876654
[train] Episode 123 | Steps Taken:  97 | Total Steps: Taken  12131/300000 | Total reward: -334.15367172682517
[train] Episode 124 | Steps Taken:  96 | Total Steps: Taken  12227/300000 | Total reward: -366.3132660226135
[train] Episode 125 | Steps Taken:  96 | Total Steps: Taken  12323/300000 | Total reward: -382.57913234905254
[train] Episode 126 | Steps Taken: 100 | Total Steps: Taken  12423/300000 | Total reward: -379.774231379331
[train] Episode 127 | Steps Taken:  96 | Total Steps: Taken  12519/300000 | Total reward: -356.68907197135786
[train] Episode 128 | Steps Taken:  97 | Total Steps: Taken  12616/300000 | Total reward: -364.00471917951234
[train] Episode 129 | Steps Taken:  98 | Total Steps: Taken  12714/300000 | Total reward: -371.50355162898364
[train] Episode 130 | Steps Taken: 102 | Total Steps: Taken  12816/300000 | Total reward: -470.01486337620764
