Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent/
[train] Pretrained model ./TensorforcePPOAgent/ not found. Starting from scratch.
[train] Training 'TensorforcePPOAgent'
[train] Episode  55 | Steps Taken:  98 | Total Steps: Taken   5508/500000 | Total reward: -390.8492966958858
[train] Episode  56 | Steps Taken: 100 | Total Steps: Taken   5608/500000 | Total reward: -394.30833378417367
[train] Episode  57 | Steps Taken:  97 | Total Steps: Taken   5705/500000 | Total reward: -387.28729172884937
[train] Episode  58 | Steps Taken:  97 | Total Steps: Taken   5802/500000 | Total reward: -375.01395680230337
[train] Episode  59 | Steps Taken:  97 | Total Steps: Taken   5899/500000 | Total reward: -360.35086954621937
[train] Episode  60 | Steps Taken: 101 | Total Steps: Taken   6000/500000 | Total reward: -416.50409457554065
[train] Episode  61 | Steps Taken:  97 | Total Steps: Taken   6097/500000 | Total reward: -357.08463059700654
[train] Episode  62 | Steps Taken:  99 | Total Steps: Taken   6196/500000 | Total reward: -397.102161073412
[train] Episode  63 | Steps Taken: 100 | Total Steps: Taken   6296/500000 | Total reward: -412.81009701439785
[train] Episode  64 | Steps Taken:  96 | Total Steps: Taken   6392/500000 | Total reward: -355.0102382358195
[train] Episode  65 | Steps Taken:  98 | Total Steps: Taken   6490/500000 | Total reward: -410.1551255964114
[train] Episode  66 | Steps Taken:  98 | Total Steps: Taken   6588/500000 | Total reward: -408.06715931038593
[train] Episode  67 | Steps Taken:  99 | Total Steps: Taken   6687/500000 | Total reward: -359.98533769596315
[train] Episode  68 | Steps Taken: 100 | Total Steps: Taken   6787/500000 | Total reward: -364.711438986915
[train] Episode  69 | Steps Taken: 100 | Total Steps: Taken   6887/500000 | Total reward: -423.0120121493454
[train] Episode  70 | Steps Taken:  99 | Total Steps: Taken   6986/500000 | Total reward: -383.11315393705587
[train] Episode  71 | Steps Taken: 100 | Total Steps: Taken   7086/500000 | Total reward: -375.4377066287525
[train] Episode  72 | Steps Taken: 100 | Total Steps: Taken   7186/500000 | Total reward: -388.60331079903824
[train] Episode  73 | Steps Taken:  94 | Total Steps: Taken   7280/500000 | Total reward: -360.7535019800711
[train] Episode  74 | Steps Taken: 101 | Total Steps: Taken   7381/500000 | Total reward: -400.56185462089434
[train] Episode  75 | Steps Taken:  99 | Total Steps: Taken   7480/500000 | Total reward: -383.98392209592487
[train] Episode  76 | Steps Taken:  96 | Total Steps: Taken   7576/500000 | Total reward: -361.72179102477185
[train] Episode  77 | Steps Taken:  96 | Total Steps: Taken   7672/500000 | Total reward: -388.04855377472984
[train] Episode  78 | Steps Taken:  95 | Total Steps: Taken   7767/500000 | Total reward: -361.363818061062
[train] Episode  79 | Steps Taken:  98 | Total Steps: Taken   7865/500000 | Total reward: -409.5270630055139
[train] Episode  80 | Steps Taken: 101 | Total Steps: Taken   7966/500000 | Total reward: -406.7224207214447
[train] Episode  81 | Steps Taken: 101 | Total Steps: Taken   8067/500000 | Total reward: -443.3508051664895
[train] Episode  82 | Steps Taken: 100 | Total Steps: Taken   8167/500000 | Total reward: -382.00234062440313
[train] Episode  83 | Steps Taken: 101 | Total Steps: Taken   8268/500000 | Total reward: -380.84760594476046
[train] Episode  84 | Steps Taken: 100 | Total Steps: Taken   8368/500000 | Total reward: -405.23888720800113
[train] Episode  85 | Steps Taken:  97 | Total Steps: Taken   8465/500000 | Total reward: -377.1741179001751
[train] Episode  86 | Steps Taken:  99 | Total Steps: Taken   8564/500000 | Total reward: -400.0288576137247
[train] Episode  87 | Steps Taken: 101 | Total Steps: Taken   8665/500000 | Total reward: -401.95304614140616
[train] Episode  88 | Steps Taken: 101 | Total Steps: Taken   8766/500000 | Total reward: -394.1528742184069
[train] Episode  89 | Steps Taken:  99 | Total Steps: Taken   8865/500000 | Total reward: -355.0150225675335
[train] Episode  90 | Steps Taken:  98 | Total Steps: Taken   8963/500000 | Total reward: -364.73142454063685
[train] Episode  91 | Steps Taken:  98 | Total Steps: Taken   9061/500000 | Total reward: -397.9214951653807
[train] Episode  92 | Steps Taken: 101 | Total Steps: Taken   9162/500000 | Total reward: -359.90794695394914
[train] Episode  93 | Steps Taken:  98 | Total Steps: Taken   9260/500000 | Total reward: -372.17764373441935
[train] Episode  94 | Steps Taken:  98 | Total Steps: Taken   9358/500000 | Total reward: -359.3064721458099
[train] Episode  95 | Steps Taken:  98 | Total Steps: Taken   9456/500000 | Total reward: -390.46650066616525
[train] Episode  96 | Steps Taken:  97 | Total Steps: Taken   9553/500000 | Total reward: -361.5549597901869
[train] Episode  97 | Steps Taken:  94 | Total Steps: Taken   9647/500000 | Total reward: -353.17710942201825
[train] Episode  98 | Steps Taken:  96 | Total Steps: Taken   9743/500000 | Total reward: -345.53771791732504
[train] Episode  99 | Steps Taken:  97 | Total Steps: Taken   9840/500000 | Total reward: -328.93954051926573
[train] Episode 100 | Steps Taken:  97 | Total Steps: Taken   9937/500000 | Total reward: -366.0294048128038
[train] Episode 101 | Steps Taken: 104 | Total Steps: Taken  10041/500000 | Total reward: -417.4745556419061
[train] Episode 102 | Steps Taken:  98 | Total Steps: Taken  10139/500000 | Total reward: -409.16468803861727
[train] Episode 103 | Steps Taken: 105 | Total Steps: Taken  10244/500000 | Total reward: -391.15376978514786
[train] Episode 104 | Steps Taken: 101 | Total Steps: Taken  10345/500000 | Total reward: -408.6489322163844
[train] Episode 105 | Steps Taken:  97 | Total Steps: Taken  10442/500000 | Total reward: -409.8879614266297
[train] Episode 106 | Steps Taken:  96 | Total Steps: Taken  10538/500000 | Total reward: -368.52612462560506
[train] Episode 107 | Steps Taken:  95 | Total Steps: Taken  10633/500000 | Total reward: -365.0411874258338
[train] Episode 108 | Steps Taken: 101 | Total Steps: Taken  10734/500000 | Total reward: -399.43525285591477
[train] Episode 109 | Steps Taken:  99 | Total Steps: Taken  10833/500000 | Total reward: -387.145456420575
[train] Episode 110 | Steps Taken:  95 | Total Steps: Taken  10928/500000 | Total reward: -341.0234892535394
[train] Episode 111 | Steps Taken:  96 | Total Steps: Taken  11024/500000 | Total reward: -387.5789147548416
[train] Episode 112 | Steps Taken: 103 | Total Steps: Taken  11127/500000 | Total reward: -436.0809181202204
[train] Episode 113 | Steps Taken: 100 | Total Steps: Taken  11227/500000 | Total reward: -402.30042583838923
[train] Episode 114 | Steps Taken:  97 | Total Steps: Taken  11324/500000 | Total reward: -378.4990044004655
[train] Episode 115 | Steps Taken:  98 | Total Steps: Taken  11422/500000 | Total reward: -354.59794202198856
[train] Episode 116 | Steps Taken:  95 | Total Steps: Taken  11517/500000 | Total reward: -377.4981804053753
[train] Episode 117 | Steps Taken:  96 | Total Steps: Taken  11613/500000 | Total reward: -335.36785288052647
[train] Episode 118 | Steps Taken: 103 | Total Steps: Taken  11716/500000 | Total reward: -414.14123486629234
[train] Episode 119 | Steps Taken:  99 | Total Steps: Taken  11815/500000 | Total reward: -367.5668345158836
[train] Episode 120 | Steps Taken:  96 | Total Steps: Taken  11911/500000 | Total reward: -383.65077806123946
[train] Episode 121 | Steps Taken: 100 | Total Steps: Taken  12011/500000 | Total reward: -376.68947704893174
[train] Episode 122 | Steps Taken:  96 | Total Steps: Taken  12107/500000 | Total reward: -392.7006835632552
[train] Episode 123 | Steps Taken:  96 | Total Steps: Taken  12203/500000 | Total reward: -375.12232362458906
[train] Episode 124 | Steps Taken:  98 | Total Steps: Taken  12301/500000 | Total reward: -354.3243574695123
[train] Episode 125 | Steps Taken:  99 | Total Steps: Taken  12400/500000 | Total reward: -383.734455669775
[train] Episode 126 | Steps Taken: 100 | Total Steps: Taken  12500/500000 | Total reward: -419.93646124236625
[train] Episode 127 | Steps Taken:  97 | Total Steps: Taken  12597/500000 | Total reward: -385.93600265058694
[train] Episode 128 | Steps Taken:  97 | Total Steps: Taken  12694/500000 | Total reward: -387.1245576418023
[train] Episode 129 | Steps Taken:  98 | Total Steps: Taken  12792/500000 | Total reward: -361.7787965012889
[train] Episode 130 | Steps Taken: 101 | Total Steps: Taken  12893/500000 | Total reward: -448.7880050840664
[train] Episode 131 | Steps Taken:  98 | Total Steps: Taken  12991/500000 | Total reward: -373.9197160571428
[train] Episode 132 | Steps Taken: 100 | Total Steps: Taken  13091/500000 | Total reward: -435.268675405914
[train] Episode 133 | Steps Taken:  98 | Total Steps: Taken  13189/500000 | Total reward: -391.57942959408376
[train] Episode 134 | Steps Taken: 100 | Total Steps: Taken  13289/500000 | Total reward: -424.4370831110157
[train] Episode 135 | Steps Taken:  97 | Total Steps: Taken  13386/500000 | Total reward: -337.25723740343966
[train] Episode 136 | Steps Taken:  96 | Total Steps: Taken  13482/500000 | Total reward: -398.16983714654646
[train] Episode 137 | Steps Taken:  97 | Total Steps: Taken  13579/500000 | Total reward: -344.4734811899367
[train] Episode 138 | Steps Taken:  97 | Total Steps: Taken  13676/500000 | Total reward: -374.49620848698015
[train] Episode 139 | Steps Taken:  97 | Total Steps: Taken  13773/500000 | Total reward: -393.1987244189468
[train] Episode 140 | Steps Taken:  99 | Total Steps: Taken  13872/500000 | Total reward: -368.36333593757087
[train] Episode 141 | Steps Taken:  96 | Total Steps: Taken  13968/500000 | Total reward: -362.0988441367346
[train] Episode 142 | Steps Taken:  98 | Total Steps: Taken  14066/500000 | Total reward: -415.7845234355542
[train] Episode 143 | Steps Taken:  95 | Total Steps: Taken  14161/500000 | Total reward: -342.6095463223229
[train] Episode 144 | Steps Taken:  99 | Total Steps: Taken  14260/500000 | Total reward: -402.99533636141524
[train] Episode 145 | Steps Taken:  97 | Total Steps: Taken  14357/500000 | Total reward: -367.413387946197
[train] Episode 146 | Steps Taken:  98 | Total Steps: Taken  14455/500000 | Total reward: -393.3947524697014
[train] Episode 147 | Steps Taken: 100 | Total Steps: Taken  14555/500000 | Total reward: -411.1819660146265
[train] Episode 148 | Steps Taken:  98 | Total Steps: Taken  14653/500000 | Total reward: -410.339062908074
[train] Episode 149 | Steps Taken:  94 | Total Steps: Taken  14747/500000 | Total reward: -373.49233204866294
[train] Episode 150 | Steps Taken:  98 | Total Steps: Taken  14845/500000 | Total reward: -398.5021489448242
[train] Episode 151 | Steps Taken:  99 | Total Steps: Taken  14944/500000 | Total reward: -393.4488921551986
[train] Episode 152 | Steps Taken:  97 | Total Steps: Taken  15041/500000 | Total reward: -362.19306947608766
[train] Episode 153 | Steps Taken:  98 | Total Steps: Taken  15139/500000 | Total reward: -332.5896054907443
[train] Episode 154 | Steps Taken:  97 | Total Steps: Taken  15236/500000 | Total reward: -373.23005536293215
[train] Episode 155 | Steps Taken:  99 | Total Steps: Taken  15335/500000 | Total reward: -415.6033688172657
[train] Episode 156 | Steps Taken:  96 | Total Steps: Taken  15431/500000 | Total reward: -344.62615197313784
[train] Episode 157 | Steps Taken:  98 | Total Steps: Taken  15529/500000 | Total reward: -380.27713701764566
[train] Episode 158 | Steps Taken:  98 | Total Steps: Taken  15627/500000 | Total reward: -383.2129405087534
[train] Episode 159 | Steps Taken: 101 | Total Steps: Taken  15728/500000 | Total reward: -456.2836514883582
[train] Episode 160 | Steps Taken: 102 | Total Steps: Taken  15830/500000 | Total reward: -436.95397638655726
[train] Episode 161 | Steps Taken:  98 | Total Steps: Taken  15928/500000 | Total reward: -334.6847357352828
[train] Episode 162 | Steps Taken:  98 | Total Steps: Taken  16026/500000 | Total reward: -359.6033342164485
[train] Episode 163 | Steps Taken:  98 | Total Steps: Taken  16124/500000 | Total reward: -355.86847446415226
[train] Episode 164 | Steps Taken:  95 | Total Steps: Taken  16219/500000 | Total reward: -346.04291054997435
[train] Episode 165 | Steps Taken:  95 | Total Steps: Taken  16314/500000 | Total reward: -381.8385671828482
[train] Episode 166 | Steps Taken:  98 | Total Steps: Taken  16412/500000 | Total reward: -372.5957116581709
[train] Episode 167 | Steps Taken: 101 | Total Steps: Taken  16513/500000 | Total reward: -406.39893968112
[train] Episode 168 | Steps Taken:  98 | Total Steps: Taken  16611/500000 | Total reward: -355.6951298338033
[train] Episode 169 | Steps Taken:  95 | Total Steps: Taken  16706/500000 | Total reward: -378.8133906242141
[train] Episode 170 | Steps Taken: 100 | Total Steps: Taken  16806/500000 | Total reward: -373.30028805018003
[train] Episode 171 | Steps Taken:  97 | Total Steps: Taken  16903/500000 | Total reward: -367.9517653640917
[train] Episode 172 | Steps Taken:  98 | Total Steps: Taken  17001/500000 | Total reward: -363.14982060723344
[train] Episode 173 | Steps Taken:  98 | Total Steps: Taken  17099/500000 | Total reward: -374.19250074355256
[train] Episode 174 | Steps Taken:  99 | Total Steps: Taken  17198/500000 | Total reward: -378.99159453492604
[train] Episode 175 | Steps Taken:  97 | Total Steps: Taken  17295/500000 | Total reward: -366.6835874515569
[train] Episode 176 | Steps Taken:  98 | Total Steps: Taken  17393/500000 | Total reward: -343.9770191150333
[train] Episode 177 | Steps Taken: 103 | Total Steps: Taken  17496/500000 | Total reward: -388.2279791962169
[train] Episode 178 | Steps Taken:  97 | Total Steps: Taken  17593/500000 | Total reward: -403.33480684886416
[train] Episode 179 | Steps Taken: 101 | Total Steps: Taken  17694/500000 | Total reward: -415.0591064450617
[train] Episode 180 | Steps Taken: 102 | Total Steps: Taken  17796/500000 | Total reward: -417.7366438799074
[train] Episode 181 | Steps Taken: 104 | Total Steps: Taken  17900/500000 | Total reward: -385.6732491629718
[train] Episode 182 | Steps Taken: 101 | Total Steps: Taken  18001/500000 | Total reward: -401.89313420290694
[train] Episode 183 | Steps Taken:  98 | Total Steps: Taken  18099/500000 | Total reward: -365.29574829594884
[train] Episode 184 | Steps Taken:  97 | Total Steps: Taken  18196/500000 | Total reward: -376.2455625697993
[train] Episode 185 | Steps Taken:  97 | Total Steps: Taken  18293/500000 | Total reward: -371.6026012349651
[train] Episode 186 | Steps Taken:  99 | Total Steps: Taken  18392/500000 | Total reward: -364.66138224911
[train] Episode 187 | Steps Taken:  98 | Total Steps: Taken  18490/500000 | Total reward: -415.9952984137739
[train] Episode 188 | Steps Taken: 102 | Total Steps: Taken  18592/500000 | Total reward: -424.20560426654777
[train] Episode 189 | Steps Taken:  98 | Total Steps: Taken  18690/500000 | Total reward: -400.2889014248084
[train] Episode 190 | Steps Taken:  99 | Total Steps: Taken  18789/500000 | Total reward: -409.3104908158266
[train] Episode 191 | Steps Taken:  97 | Total Steps: Taken  18886/500000 | Total reward: -371.6719223184246
[train] Episode 192 | Steps Taken: 101 | Total Steps: Taken  18987/500000 | Total reward: -430.8128210125847
[train] Episode 193 | Steps Taken:  95 | Total Steps: Taken  19082/500000 | Total reward: -377.9911490810765
[train] Episode 194 | Steps Taken: 100 | Total Steps: Taken  19182/500000 | Total reward: -358.05689769933844
[train] Episode 195 | Steps Taken: 103 | Total Steps: Taken  19285/500000 | Total reward: -391.01618572065814
[train] Episode 196 | Steps Taken:  98 | Total Steps: Taken  19383/500000 | Total reward: -377.9779186499366
