Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensorforcePPOAgent_exp/
[train] Successfully loaded weights from ./TensorforcePPOAgent_exp/
[train] Training 'TensorforcePPOAgent_exp'
[train] Episode  54 | Steps Taken:  99 | Total Steps: Taken   5305/1000000 | Total reward: -502.31328800241164
[train] Episode  55 | Steps Taken:  99 | Total Steps: Taken   5404/1000000 | Total reward: -523.4715763702485
[train] Episode  56 | Steps Taken:  98 | Total Steps: Taken   5502/1000000 | Total reward: -471.97602130817023
[train] Episode  57 | Steps Taken:  99 | Total Steps: Taken   5601/1000000 | Total reward: -510.3958207552031
[train] Episode  58 | Steps Taken: 100 | Total Steps: Taken   5701/1000000 | Total reward: -548.1543434302483
[train] Episode  59 | Steps Taken:  97 | Total Steps: Taken   5798/1000000 | Total reward: -477.8063145966476
[train] Episode  60 | Steps Taken:  98 | Total Steps: Taken   5896/1000000 | Total reward: -482.9059056631127
[train] Episode  61 | Steps Taken: 101 | Total Steps: Taken   5997/1000000 | Total reward: -561.7974124758875
[train] Episode  62 | Steps Taken: 101 | Total Steps: Taken   6098/1000000 | Total reward: -557.9899163270995
[train] Episode  63 | Steps Taken: 101 | Total Steps: Taken   6199/1000000 | Total reward: -560.3980194825865
[train] Episode  64 | Steps Taken:  97 | Total Steps: Taken   6296/1000000 | Total reward: -467.6330853134235
[train] Episode  65 | Steps Taken:  98 | Total Steps: Taken   6394/1000000 | Total reward: -494.8120521393188
[train] Episode  66 | Steps Taken:  98 | Total Steps: Taken   6492/1000000 | Total reward: -480.6380256591297
[train] Episode  67 | Steps Taken:  97 | Total Steps: Taken   6589/1000000 | Total reward: -473.2399098528679
[train] Episode  68 | Steps Taken:  98 | Total Steps: Taken   6687/1000000 | Total reward: -491.5068270450196
[train] Episode  69 | Steps Taken:  99 | Total Steps: Taken   6786/1000000 | Total reward: -531.0075238298482
[train] Episode  70 | Steps Taken:  97 | Total Steps: Taken   6883/1000000 | Total reward: -477.54390819652815
[train] Episode  71 | Steps Taken:  97 | Total Steps: Taken   6980/1000000 | Total reward: -467.32639293672247
[train] Episode  72 | Steps Taken:  96 | Total Steps: Taken   7076/1000000 | Total reward: -473.630489563023
[train] Episode  73 | Steps Taken:  97 | Total Steps: Taken   7173/1000000 | Total reward: -489.76223007219113
[train] Episode  74 | Steps Taken:  97 | Total Steps: Taken   7270/1000000 | Total reward: -459.39655611038677
[train] Episode  75 | Steps Taken:  98 | Total Steps: Taken   7368/1000000 | Total reward: -498.70242732551895
[train] Episode  76 | Steps Taken:  98 | Total Steps: Taken   7466/1000000 | Total reward: -478.25053681900016
[train] Episode  77 | Steps Taken:  98 | Total Steps: Taken   7564/1000000 | Total reward: -511.391275028009
[train] Episode  78 | Steps Taken: 101 | Total Steps: Taken   7665/1000000 | Total reward: -559.0517275272639
[train] Episode  79 | Steps Taken: 100 | Total Steps: Taken   7765/1000000 | Total reward: -554.5493140325035
[train] Episode  80 | Steps Taken:  98 | Total Steps: Taken   7863/1000000 | Total reward: -522.2898761437152
[train] Episode  81 | Steps Taken: 100 | Total Steps: Taken   7963/1000000 | Total reward: -548.7964180040341
[train] Episode  82 | Steps Taken:  97 | Total Steps: Taken   8060/1000000 | Total reward: -477.4360007973215
[train] Episode  83 | Steps Taken:  99 | Total Steps: Taken   8159/1000000 | Total reward: -521.6536617940292
