Updating Model file from 30000 to latest format...
Loaded model gait14dof22musc_pros from file C:\Users\stevenhartman\Anaconda3\envs\opensim-rl\lib\site-packages\osim\env\../models/gait14dof22musc_pros_20180507.osim
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'back'.
The duplicate is being renamed to 'back_0'.
Model 'gait14dof22musc_pros' has subcomponents with duplicate name 'pros_foot_r'.
The duplicate is being renamed to 'pros_foot_r_0'.
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
[train] Loading weights from ./TensPPO_extLay_10xlearn/
[train] Pretrained model ./TensPPO_extLay_10xlearn/ not found. Starting from scratch.
[train] Training 'TensPPO_extLay_10xlearn'
[train] Episode  54 | Steps Taken:  98 | Total Steps: Taken   5289/500000 | Total reward: -562.40945168665
[train] Episode  55 | Steps Taken:  98 | Total Steps: Taken   5387/500000 | Total reward: -544.9077030628246
[train] Episode  56 | Steps Taken:  99 | Total Steps: Taken   5486/500000 | Total reward: -578.0325110602928
[train] Episode  57 | Steps Taken:  99 | Total Steps: Taken   5585/500000 | Total reward: -572.4384860878266
[train] Episode  58 | Steps Taken:  99 | Total Steps: Taken   5684/500000 | Total reward: -570.2993929218779
[train] Episode  59 | Steps Taken:  97 | Total Steps: Taken   5781/500000 | Total reward: -541.7428727656746
[train] Episode  60 | Steps Taken:  98 | Total Steps: Taken   5879/500000 | Total reward: -559.7354982379319
[train] Episode  61 | Steps Taken:  98 | Total Steps: Taken   5977/500000 | Total reward: -555.2943937023668
[train] Episode  62 | Steps Taken:  99 | Total Steps: Taken   6076/500000 | Total reward: -575.7560131101492
[train] Episode  63 | Steps Taken:  98 | Total Steps: Taken   6174/500000 | Total reward: -566.126352436463
[train] Episode  64 | Steps Taken:  98 | Total Steps: Taken   6272/500000 | Total reward: -546.6019720747662
[train] Episode  65 | Steps Taken:  99 | Total Steps: Taken   6371/500000 | Total reward: -573.5743223598624
[train] Episode  66 | Steps Taken:  99 | Total Steps: Taken   6470/500000 | Total reward: -582.1546150740905
[train] Episode  67 | Steps Taken:  98 | Total Steps: Taken   6568/500000 | Total reward: -552.425031862909
[train] Episode  68 | Steps Taken:  99 | Total Steps: Taken   6667/500000 | Total reward: -572.7887035127874
[train] Episode  69 | Steps Taken:  97 | Total Steps: Taken   6764/500000 | Total reward: -526.2860126403648
[train] Episode  70 | Steps Taken:  99 | Total Steps: Taken   6863/500000 | Total reward: -566.7961536222277
[train] Episode  71 | Steps Taken:  98 | Total Steps: Taken   6961/500000 | Total reward: -555.1790020394786
[train] Episode  72 | Steps Taken:  99 | Total Steps: Taken   7060/500000 | Total reward: -569.8345079380766
[train] Episode  73 | Steps Taken:  98 | Total Steps: Taken   7158/500000 | Total reward: -563.8287628672939
[train] Episode  74 | Steps Taken:  98 | Total Steps: Taken   7256/500000 | Total reward: -542.1476790624894
[train] Episode  75 | Steps Taken:  98 | Total Steps: Taken   7354/500000 | Total reward: -538.5474067679941
[train] Episode  76 | Steps Taken:  99 | Total Steps: Taken   7453/500000 | Total reward: -570.169360303486
[train] Episode  77 | Steps Taken:  98 | Total Steps: Taken   7551/500000 | Total reward: -550.2636872612468
[train] Episode  78 | Steps Taken:  99 | Total Steps: Taken   7650/500000 | Total reward: -552.2100098163891
[train] Episode  79 | Steps Taken:  97 | Total Steps: Taken   7747/500000 | Total reward: -529.4992503701106
[train] Episode  80 | Steps Taken:  98 | Total Steps: Taken   7845/500000 | Total reward: -561.9152206450464
[train] Episode  81 | Steps Taken:  98 | Total Steps: Taken   7943/500000 | Total reward: -548.5771137641016
[train] Episode  82 | Steps Taken:  99 | Total Steps: Taken   8042/500000 | Total reward: -574.1243969773597
[train] Episode  83 | Steps Taken:  98 | Total Steps: Taken   8140/500000 | Total reward: -560.49633846221
[train] Episode  84 | Steps Taken:  98 | Total Steps: Taken   8238/500000 | Total reward: -565.3584983883884
[train] Episode  85 | Steps Taken:  98 | Total Steps: Taken   8336/500000 | Total reward: -547.0843120694703
[train] Episode  86 | Steps Taken:  98 | Total Steps: Taken   8434/500000 | Total reward: -560.3845446597818
[train] Episode  87 | Steps Taken:  98 | Total Steps: Taken   8532/500000 | Total reward: -559.2356601867936
[train] Episode  88 | Steps Taken:  99 | Total Steps: Taken   8631/500000 | Total reward: -571.5427856456364
[train] Episode  89 | Steps Taken:  99 | Total Steps: Taken   8730/500000 | Total reward: -575.4908707365274
[train] Episode  90 | Steps Taken:  99 | Total Steps: Taken   8829/500000 | Total reward: -573.8220887160646
[train] Episode  91 | Steps Taken:  99 | Total Steps: Taken   8928/500000 | Total reward: -570.1981549480512
[train] Episode  92 | Steps Taken:  97 | Total Steps: Taken   9025/500000 | Total reward: -529.8327381907933
[train] Episode  93 | Steps Taken:  99 | Total Steps: Taken   9124/500000 | Total reward: -580.5565889860761
[train] Episode  94 | Steps Taken:  98 | Total Steps: Taken   9222/500000 | Total reward: -542.9755530953771
[train] Episode  95 | Steps Taken:  98 | Total Steps: Taken   9320/500000 | Total reward: -552.7322404228042
[train] Episode  96 | Steps Taken:  98 | Total Steps: Taken   9418/500000 | Total reward: -546.4082753054839
[train] Episode  97 | Steps Taken:  98 | Total Steps: Taken   9516/500000 | Total reward: -554.9862692241892
[train] Episode  98 | Steps Taken:  98 | Total Steps: Taken   9614/500000 | Total reward: -566.0252179119555
[train] Episode  99 | Steps Taken:  98 | Total Steps: Taken   9712/500000 | Total reward: -562.3123184742599
[train] Episode 100 | Steps Taken:  98 | Total Steps: Taken   9810/500000 | Total reward: -539.9795279581871
[train] Episode 101 | Steps Taken:  99 | Total Steps: Taken   9909/500000 | Total reward: -573.8078270900116
[train] Episode 102 | Steps Taken:  98 | Total Steps: Taken  10007/500000 | Total reward: -551.3464237037825
[train] Episode 103 | Steps Taken:  98 | Total Steps: Taken  10105/500000 | Total reward: -560.673316092517
[train] Episode 104 | Steps Taken:  98 | Total Steps: Taken  10203/500000 | Total reward: -569.1532892677129
[train] Episode 105 | Steps Taken:  98 | Total Steps: Taken  10301/500000 | Total reward: -566.4561285292414
[train] Episode 106 | Steps Taken:  97 | Total Steps: Taken  10398/500000 | Total reward: -542.0686613456736
[train] Episode 107 | Steps Taken:  99 | Total Steps: Taken  10497/500000 | Total reward: -580.7458593979276
[train] Episode 108 | Steps Taken:  99 | Total Steps: Taken  10596/500000 | Total reward: -572.4307533919418
[train] Episode 109 | Steps Taken:  98 | Total Steps: Taken  10694/500000 | Total reward: -555.5704024249513
[train] Episode 110 | Steps Taken:  98 | Total Steps: Taken  10792/500000 | Total reward: -554.779004429387
[train] Episode 111 | Steps Taken:  96 | Total Steps: Taken  10888/500000 | Total reward: -529.6959367237214
[train] Episode 112 | Steps Taken:  98 | Total Steps: Taken  10986/500000 | Total reward: -559.4693576203083
[train] Episode 113 | Steps Taken:  98 | Total Steps: Taken  11084/500000 | Total reward: -559.3050991971519
[train] Episode 114 | Steps Taken:  98 | Total Steps: Taken  11182/500000 | Total reward: -550.1477079100695
[train] Episode 115 | Steps Taken:  98 | Total Steps: Taken  11280/500000 | Total reward: -550.4601671821213
[train] Episode 116 | Steps Taken:  98 | Total Steps: Taken  11378/500000 | Total reward: -563.8610760200424
[train] Episode 117 | Steps Taken:  94 | Total Steps: Taken  11472/500000 | Total reward: -481.6225992594471
[train] Episode 118 | Steps Taken:  98 | Total Steps: Taken  11570/500000 | Total reward: -551.3359006612485
[train] Episode 119 | Steps Taken:  98 | Total Steps: Taken  11668/500000 | Total reward: -565.043723536326
[train] Episode 120 | Steps Taken:  97 | Total Steps: Taken  11765/500000 | Total reward: -534.2127090026237
[train] Episode 121 | Steps Taken:  98 | Total Steps: Taken  11863/500000 | Total reward: -558.9621840109085
[train] Episode 122 | Steps Taken:  99 | Total Steps: Taken  11962/500000 | Total reward: -566.4403596062078
[train] Episode 123 | Steps Taken:  98 | Total Steps: Taken  12060/500000 | Total reward: -569.3819916522052
[train] Episode 124 | Steps Taken:  98 | Total Steps: Taken  12158/500000 | Total reward: -552.0083554798954
[train] Episode 125 | Steps Taken:  97 | Total Steps: Taken  12255/500000 | Total reward: -539.448575854874
[train] Episode 126 | Steps Taken:  97 | Total Steps: Taken  12352/500000 | Total reward: -536.4162453343768
[train] Episode 127 | Steps Taken:  99 | Total Steps: Taken  12451/500000 | Total reward: -569.1228707177185
[train] Episode 128 | Steps Taken:  98 | Total Steps: Taken  12549/500000 | Total reward: -551.8632067532998
[train] Episode 129 | Steps Taken:  99 | Total Steps: Taken  12648/500000 | Total reward: -576.7763809618518
[train] Episode 130 | Steps Taken:  98 | Total Steps: Taken  12746/500000 | Total reward: -554.8903326112463
[train] Episode 131 | Steps Taken:  99 | Total Steps: Taken  12845/500000 | Total reward: -570.0460102840025
[train] Episode 132 | Steps Taken:  98 | Total Steps: Taken  12943/500000 | Total reward: -551.1930162632095
[train] Episode 133 | Steps Taken:  98 | Total Steps: Taken  13041/500000 | Total reward: -550.717923267299
[train] Episode 134 | Steps Taken:  98 | Total Steps: Taken  13139/500000 | Total reward: -557.3588666973683
[train] Episode 135 | Steps Taken:  99 | Total Steps: Taken  13238/500000 | Total reward: -578.3510133545615
[train] Episode 136 | Steps Taken:  98 | Total Steps: Taken  13336/500000 | Total reward: -557.245519680807
[train] Episode 137 | Steps Taken:  98 | Total Steps: Taken  13434/500000 | Total reward: -554.9775384430621
[train] Episode 138 | Steps Taken:  98 | Total Steps: Taken  13532/500000 | Total reward: -570.3098881265967
[train] Episode 139 | Steps Taken:  98 | Total Steps: Taken  13630/500000 | Total reward: -552.3772669548945
[train] Episode 140 | Steps Taken:  98 | Total Steps: Taken  13728/500000 | Total reward: -558.6162375429192
[train] Episode 141 | Steps Taken:  99 | Total Steps: Taken  13827/500000 | Total reward: -575.3097331568231
[train] Episode 142 | Steps Taken:  99 | Total Steps: Taken  13926/500000 | Total reward: -586.1132302937134
[train] Episode 143 | Steps Taken:  98 | Total Steps: Taken  14024/500000 | Total reward: -562.8069457544835
[train] Episode 144 | Steps Taken:  97 | Total Steps: Taken  14121/500000 | Total reward: -551.8976155739664
[train] Episode 145 | Steps Taken:  99 | Total Steps: Taken  14220/500000 | Total reward: -572.973416347263
